horses,HIPISMO INTERNACIONAL Y NACIONAL 2,nationalhorses,nationalhorses,https://cdn.sellatuparley.com/websella/img/horses/boton-hipismo-internacional.webp,hipismo
horses,HIPISMO NACIONAL,inh,inh,https://cdn.sellatuparley.com/websella/img/horses/boton-hipismo-nacional.webp,hipismo
puestos,PUESTOS,1,https://cdn.sellatuparley.com/websella/img/horses/boton-puestos.webp,hipismo
pragmatic,Carreas de Caballos virutales,pragmatic,vpfh3,https://cdn.sellatuparley.com/websella/img/casino/caballos_virtuales.png,virtual
pragmatic,Carreas de Galgos virutales,pragmatic,vpdr7,https://cdn.sellatuparley.com/websella/img/casino/galgos_virtuales.png,virtual
