platipus,BET ON TEEN PATTI,iconic21,21006,https://cdn.sellatuparley.com/websella/img/iconic21/BetonTeenPatti.png,game
platipus,OASIS BLACKJACK,iconic21,21007,https://cdn.sellatuparley.com/websella/img/iconic21/OasisBlackjack.png,game
platipus,SIC BO,iconic21,21008,https://cdn.sellatuparley.com/websella/img/iconic21/SicBo.png,game
platipus,VIRTUAL TOP CARD,iconic21,21010,https://cdn.sellatuparley.com/websella/img/iconic21/VirtualTopCard.png,game
platipus,AUTO ROULETTE,iconic21,21011,https://cdn.sellatuparley.com/websella/img/iconic21/AutoRoulette.png,game
platipus,GRAVITY AUTO ROULETTE,iconic21,21012,https://cdn.sellatuparley.com/websella/img/iconic21/GravityAutoRoulette.png,game
platipus,TAKE DEAL OR RISK BLACKJACK,iconic21,21013,https://cdn.sellatuparley.com/websella/img/iconic21/TakeDealorRisk.png,game
platipus,GRAND BONUS BACCARAT,iconic21,21014,https://cdn.sellatuparley.com/websella/img/iconic21/GrandBonusBaccarat.png,game
platipus,VIP BACCARAT,iconic21,21015,https://cdn.sellatuparley.com/websella/img/iconic21/VIPBaccarat.png,game
platipus,BLACKJACK 360 MIDDAY,iconic21,21029,https://cdn.sellatuparley.com/websella/img/iconic21/blackjack360midday.png,game
platipus,GRAVITY SIC BO,iconic21,21009,https://cdn.sellatuparley.com/websella/img/iconic21/GravitySicBo.png,game
platipus,BLACKJACK 360 SUNSET,iconic21,21030,https://cdn.sellatuparley.com/websella/img/iconic21/blackjack360sunset.png,game
platipus,OASIS VIP BLACKJACK,iconic21,21035,https://cdn.sellatuparley.com/websella/img/iconic21/oasisvipblackjack.png,game
platipus,GRAND BONUS BLACKJACK,iconic21,21034,https://cdn.sellatuparley.com/websella/img/iconic21/grandbonusblackjack.png,game
